"The game is a realistic representation of recognising sheep lameness in the field","Learning to play this game was easy","The game rules are clear and easy to understand","The contents and structure helped me to become confident that I would learn with this game","This game is appropriately challenging for me","The game does not become monotonous as it progresses","I am motivated to achieve a better score","Completing the game tasks gave me a satisfying feeling of accomplishment","It is due to my personal effort that I managed to advance in the game","I feel satisfied with the things that I learned from the game","I would recommend this game to my colleagues/friends","I had fun with the game","I would play this game again","I would recommend this game as a form of entertainment","I achieved the goals of the game applying my knowledge","I would recommend this game as a form of training/educational tool","I was so involved in my gaming task that I lost track of time","I forgot about my immediate surroundings while playing this game","The game contents are relevant to my interests","It is clear to me how the contents of the game are related to my profession"
"Agree","Strongly agree","Strongly agree","Strongly agree","Neutral","Strongly disagree","Neutral","Neutral","Neutral","Neutral","Agree","Agree","Disagree","Disagree","Neutral","Strongly agree","Disagree","Disagree","Agree","Agree"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Agree","Agree","Agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree"
"Disagree","Disagree","Neutral","Disagree","Agree","Disagree","Neutral","Agree","Neutral","Disagree","Disagree","Disagree","Disagree","Strongly disagree","Disagree","Neutral","Strongly disagree","Strongly disagree","Agree","Agree"
"Neutral","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Neutral","Neutral","Agree","Agree","Neutral","Strongly disagree","Agree","Agree","Neutral","Disagree","Agree","Agree"
"Disagree","Strongly agree","Strongly agree","Agree","Agree","Disagree","Agree","Agree","Neutral","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Strongly disagree","Disagree","Strongly agree","Strongly agree"
"Disagree","Agree","Agree","Neutral","Neutral","Neutral","Agree","Neutral","Neutral","Disagree","Neutral","Neutral","Disagree","Strongly disagree","Neutral","Neutral","Strongly disagree","Agree","Agree","Agree"
"Agree","Agree","Strongly agree","Agree","Strongly agree","Agree","Strongly agree","Strongly agree","Strongly agree","Agree","Strongly agree","Strongly agree","Strongly agree","Neutral","Strongly agree","Strongly agree","Disagree","Neutral","Strongly agree","Strongly agree"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Disagree","Disagree","Agree","Agree","Strongly agree","Disagree","Disagree","Disagree","Neutral","Neutral","Neutral","Neutral","Agree","Disagree","Strongly agree","Agree","Strongly disagree","Strongly disagree","Agree","Strongly agree"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Disagree","Strongly agree","Strongly agree","Agree","Neutral","Disagree","Disagree","Disagree","Neutral","Neutral","Disagree","Agree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Agree","Agree"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Neutral","Agree","Agree","Disagree","Disagree","Agree","Agree"
"Agree","Strongly agree","Agree","Agree",NA,"Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Neutral","Neutral","Agree","Agree","Neutral","Agree","Strongly agree","Agree"
"Disagree","Strongly disagree","Strongly agree","Agree","Agree","Disagree","Strongly disagree","Neutral","Neutral","Agree","Disagree","Strongly disagree","Strongly disagree","Strongly disagree","Agree","Agree","Agree","Agree","Agree","Agree"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Disagree","Agree","Strongly agree","Neutral","Neutral","Disagree","Neutral","Disagree","Neutral","Disagree","Disagree","Disagree","Disagree","Disagree","Neutral","Neutral","Disagree","Agree","Agree","Agree"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Disagree","Agree","Neutral","Disagree",NA,"Disagree","Neutral","Disagree","Strongly disagree","Disagree","Disagree","Neutral","Neutral","Neutral","Agree","Disagree","Disagree","Disagree","Agree","Agree"
"Disagree","Neutral","Strongly agree","Neutral","Neutral","Disagree","Agree","Neutral","Neutral","Neutral","Neutral","Agree","Neutral","Neutral","Neutral","Neutral","Strongly disagree","Strongly disagree","Agree","Agree"
"Neutral","Agree","Agree","Agree",NA,"Disagree","Disagree","Disagree","Neutral","Strongly disagree","Neutral","Neutral","Neutral","Disagree","Agree","Neutral","Strongly disagree","Strongly disagree","Agree","Strongly agree"
"Strongly disagree","Neutral","Neutral","Neutral","Strongly disagree","Strongly disagree","Strongly agree","Disagree","Disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Neutral","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree"
"Neutral","Strongly agree","Strongly agree","Strongly agree","Agree","Neutral","Agree","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Disagree","Agree","Agree","Neutral","Disagree","Agree","Agree"
"Neutral","Agree","Agree","Agree","Agree","Neutral","Agree","Agree","Neutral","Agree","Agree","Neutral","Agree","Neutral","Agree","Agree","Disagree","Disagree","Neutral","Agree"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Agree","Strongly agree","Strongly agree","Agree","Agree","Disagree","Strongly agree","Disagree","Neutral","Strongly agree","Agree","Agree","Agree","Neutral","Neutral","Strongly agree","Disagree","Disagree","Neutral","Agree"
"Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Neutral","Agree","Agree"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Neutral","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Disagree","Agree","Strongly agree","Strongly agree"
"Strongly agree","Agree","Strongly agree","Agree","Strongly agree","Neutral","Strongly agree","Agree","Agree","Neutral","Agree","Agree","Agree","Neutral","Agree","Strongly agree","Disagree","Agree","Strongly agree","Strongly agree"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","Neutral","Neutral","Agree","Agree","Agree","Neutral","Agree","Agree","Neutral","Neutral","Neutral","Agree"
"Strongly disagree","Disagree","Agree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Disagree","Strongly agree","Strongly agree","Neutral","Agree","Disagree","Disagree","Disagree","Neutral","Neutral","Neutral","Disagree","Disagree","Disagree","Neutral","Disagree","Strongly disagree","Strongly disagree","Agree","Neutral"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Agree","Agree","Strongly agree","Strongly agree","Strongly agree","Agree","Strongly agree","Agree","Agree","Agree","Strongly agree","Agree","Strongly agree","Neutral","Disagree","Strongly agree","Disagree","Agree","Strongly agree","Strongly agree"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Disagree","Agree","Agree","Agree","Agree","Agree","Strongly agree","Agree","Neutral","Agree","Agree","Agree","Agree","Agree",NA,"Disagree","Disagree","Disagree","Strongly agree","Strongly agree"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Neutral","Strongly agree","Strongly agree","Strongly agree","Neutral","Neutral","Neutral","Neutral","Neutral","Agree","Agree","Agree","Agree","Disagree","Neutral","Agree","Strongly disagree","Strongly disagree","Agree","Agree"
"Agree","Strongly agree","Strongly agree","Agree","Agree","Agree","Agree","Neutral","Neutral","Agree","Neutral","Agree","Agree","Agree","Neutral","Agree","Agree","Neutral","Neutral","Neutral"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Disagree","Disagree","Neutral","Disagree","Disagree","Agree","Strongly agree","Disagree","Strongly agree","Disagree","Disagree","Agree","Agree","Disagree","Agree","Agree","Strongly disagree","Agree","Agree","Agree"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
